groq: 1 models x 3 tiers x 3 contracts, 10 cases x 3 repeats -> up to 9 cells
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kyfq7wnbfagseh2dp6f40gvx` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198251, Requested 2792. Please try again in 7m30.576s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 3/4)
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kyfq7wnbfagseh2dp6f40gvx` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 197828, Requested 2802. Please try again in 4m32.16s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 3/4)
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kyfq7wnbfagseh2dp6f40gvx` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 197407, Requested 2804. Please try again in 1m31.152s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 29.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 3/4)
WARNING no output for add_seat: RuntimeError: groq failed after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kyfq7wnbfagseh2dp6f40gvx` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199566, Requested 2789. Please try again in 16m57.36s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 3/4)
WARNING no output for vague: RuntimeError: groq failed after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kyfq7wnbfagseh2dp6f40gvx` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199141, Requested 2781. Please try again in 13m50.304s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for billing_duplicate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for api_500s: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for add_seat: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vague: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Connection error.
  6/9 openai/gpt-oss-20b / json_object / TicketTriage: first 100%, final 100%, 
accurate 73%
WARNING no output for billing_duplicate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for api_500s: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for add_seat: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vague: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for billing_duplicate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for api_500s: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for add_seat: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vague: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for billing_duplicate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for api_500s: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
  7/9 openai/gpt-oss-20b / prompt_only / TicketSummary: first 100%, final 100%,
accurate 67%
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING groq rate limited, waiting 60.0s (attempt 2/4)
WARNING groq rate limited, waiting 60.0s (attempt 3/4)
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kyfq7wnbfagseh2dp6f40gvx` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199455, Requested 871. Please try again in 2m20.832s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
WARNING groq rate limited, waiting 60.0s (attempt 1/4)
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for api_500s: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for add_seat: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vague: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for billing_duplicate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for api_500s: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for add_seat: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vague: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for billing_duplicate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for api_500s: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for add_seat: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vague: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Connection error.
  8/9 openai/gpt-oss-20b / prompt_only / TicketAnalysis: first 100%, final 
100%, accurate 100%
WARNING no output for billing_duplicate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for api_500s: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for add_seat: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vague: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for billing_duplicate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for api_500s: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for add_seat: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vague: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for billing_duplicate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for export_broken: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for cancel_account: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for dark_mode: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for total_outage: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vat_rate: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for api_500s: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for add_seat: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for vague: RuntimeError: groq failed after 4 attempts: Connection error.
WARNING no output for angry_refund: RuntimeError: groq failed after 4 attempts: Connection error.
  9/9 openai/gpt-oss-20b / prompt_only / TicketTriage: first 0%, final 0%, 
accurate 0%

                               Benchmark matrix                                
┌───────┬───────┬───────┬───────┬───────┬───────┬──────┬───────┬──────┬───────┐
│       │       │       │ first │ after │  free │      │       │      │    no │
│ model │ tier  │ sche… │ atte… │ repa… │ repa… │ acc… │ grou… │ tok… │ outp… │
├───────┼───────┼───────┼───────┼───────┼───────┼──────┼───────┼──────┼───────┤
│ gpt-… │ json… │ simp… │ 100.… │ 100.… │     0 │ 73.… │ 100.… │  510 │       │
│       │       │       │ (100… │ (100… │       │ (57… │ (100… │      │       │
│       │       │       │ n=30) │ n=30) │       │ n=3… │ n=30) │      │       │
│ gpt-… │ json… │ nest… │ 100.… │ 100.… │     0 │ 70.… │ 100.… │  783 │       │
│       │       │       │ (100… │ (100… │       │ (53… │ (100… │      │       │
│       │       │       │ n=30) │ n=30) │       │ n=3… │ n=30) │      │       │
│ gpt-… │ json… │ hard  │ 100.… │ 100.… │     0 │ 63.… │ 100.… │ 1406 │       │
│       │       │       │ (100… │ (100… │       │ (46… │ (100… │      │       │
│       │       │       │ n=30) │ n=30) │       │ n=3… │ n=30) │      │       │
│ gpt-… │ json… │ simp… │ 100.… │ 100.… │     0 │ 76.… │ 100.… │  584 │       │
│       │       │       │ (100… │ (100… │       │ (61… │ (100… │      │       │
│       │       │       │ n=30) │ n=30) │       │ n=3… │ n=30) │      │       │
│ gpt-… │ json… │ nest… │ 96.7% │ 100.… │     0 │ 63.… │ 100.… │  919 │       │
│       │       │       │ (90.… │ (100… │       │ (46… │ (100… │      │       │
│       │       │       │ n=30) │ n=30) │       │ n=3… │ n=30) │      │       │
│ gpt-… │ json… │ hard  │ 100.… │ 100.… │     0 │ 72.… │ 100.… │ 1482 │    19 │
│       │       │       │ (100… │ (100… │       │ (46… │ (100… │      │       │
│       │       │       │ n=11) │ n=11) │       │ n=1… │ n=11) │      │       │
│ gpt-… │ prom… │ simp… │ 100.… │ 100.… │     0 │ 66.… │ 100.… │  548 │    27 │
│       │       │       │ (100… │ (100… │       │ (13… │ (100… │      │       │
│       │       │       │  n=3) │  n=3) │       │ n=3) │  n=3) │      │       │
│ gpt-… │ prom… │ nest… │ 100.… │ 100.… │     0 │ 100… │ 100.… │  912 │    29 │
│       │       │       │ (100… │ (100… │       │ (10… │ (100… │      │       │
│       │       │       │  n=1) │  n=1) │       │ n=1) │  n=1) │      │       │
│ gpt-… │ prom… │ hard  │     - │     - │     0 │    - │     - │    - │    30 │
└───────┴───────┴───────┴───────┴───────┴───────┴──────┴───────┴──────┴───────┘

                              By enforcement tier                              
┌─────────────┬────────────────────┬─────────────────────┬────────────────────┐
│ tier        │      first attempt │        after repair │  semantic accuracy │
├─────────────┼────────────────────┼─────────────────────┼────────────────────┤
│ json_object │              98.6% │              100.0% │              70.4% │
│             │     (95.9%-100.0%, │     (100.0%-100.0%, │      (59.8%-81.0%, │
│             │              n=71) │               n=71) │              n=71) │
│ json_schema │             100.0% │              100.0% │              68.9% │
│             │    (100.0%-100.0%, │     (100.0%-100.0%, │      (59.3%-78.5%, │
│             │              n=90) │               n=90) │              n=90) │
│ prompt_only │             100.0% │              100.0% │              75.0% │
│             │    (100.0%-100.0%, │     (100.0%-100.0%, │     (32.6%-100.0%, │
│             │               n=4) │                n=4) │               n=4) │
└─────────────┴────────────────────┴─────────────────────┴────────────────────┘

      First-attempt failures by type       
┌─────────────┬───────────────────┬───────┐
│ tier        │ failure           │ count │
├─────────────┼───────────────────┼───────┤
│ json_object │ provider_rejected │     1 │
│ json_schema │ none              │     0 │
